id;student_name;standard;student_phone;parent_name;parent_phone;notes
1;Bedfordshire copy Auto;VII;Facilitator frame compressing;Frozen next;bypassing Account;connect USB
2;Shoes;VI;partnerships Planner invoice;virtual generate;open-source even-keeled;Movies
3;port generate Refined;IX;Beauty Intranet Usability;Electronics virtual;bluetooth revolutionary solution-oriented;dedicated quantifying Total
4;matrix Automotive;X;Savings;Station repurpose;Kentucky Web indexing;Rustic
5;installation services Course;IX;Summit;Handcrafted back;transition Polarised circuit;Operative Health cutting-edge
6;Intranet Granite Stand-alone;IX;white Grass-roots;Shirt Awesome Soft;killer Lead;Azerbaijanian calculating
7;Avon;VIII;redundant compressing;Outdoors;Global Health Shoes;SQL
8;Maine Frozen Baby;V;National deposit;invoice;Rubber Personal;Kwacha
9;Forward Georgia;V;cross-media;orange Officer Concrete;out-of-the-box port Washington;Nevada
10;Iceland;V;implement Frozen deposit;Granite;Direct;markets program Automotive
